account_id,user_id,bank_name,account_type,iban,currency,balance
A0001,U001,Ziraat,checking,TR74771586103523718394,USD,40493.41
A0002,U001,Akbank,savings,TR37756573416623955161,USD,28183.78
A0003,U002,Yapı Kredi,savings,TR45088768503115038982,EUR,31014.76
A0004,U003,Garanti,credit_card,TR20326739782786242647,USD,-12924.17
A0005,U003,Akbank,credit_card,TR74139509457153569028,EUR,-2693.8
A0006,U003,Akbank,checking,TR10259023674760142153,EUR,71970.47
A0007,U004,Garanti,credit_card,TR62897934505294951546,USD,-15121.78
A0008,U004,Akbank,credit_card,TR18263580044056683457,TRY,-18391.08
A0009,U005,Yapı Kredi,savings,TR57062574012341919211,TRY,70656.14
A0010,U005,Yapı Kredi,savings,TR93881589970764980114,EUR,28765.73
A0011,U006,Yapı Kredi,savings,TR51359576872928533874,USD,18386.87
A0012,U007,Garanti,credit_card,TR18790445364668992307,EUR,-18203.51
A0013,U008,İş Bankası,checking,TR88871528443757623888,TRY,81162.87
A0014,U009,Yapı Kredi,savings,TR73651654475976030017,EUR,66024.54
A0015,U010,Akbank,checking,TR67468059485778958982,USD,58707.47
A0016,U010,Akbank,checking,TR60387082636152948318,TRY,11713.43
A0017,U010,İş Bankası,savings,TR93641189477134614942,TRY,68058.91
